"Taxation statistics 2013–14 Individuals: Selected items by state/territory and postcode, 2013–14 income year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postcode,State/Territory1,Number of individuals,Number of individuals with private health insurance,"Taxable income or loss3
no.","Taxable income or loss3
$","Gross tax
no.","Gross tax
$","Medicare levy
no.","Medicare levy
$","Medicare levy surcharge
no.","Medicare levy surcharge
$","Net tax
no.","Net tax
$","HELP assessment debt
no.","HELP assessment debt
$","Salary or wages
no.","Salary or wages
$","Allowances earnings tips directors fees etc
no.","Allowances earnings tips directors fees etc
$","Employer lump sum payments amount A
no.","Employer lump sum payments amount A
$","Employment termination payments taxable component
no.","Employment termination payments taxable component
$","Australian government allowances and payments
no.","Australian government allowances and payments
$","Australian government pensions and allowances
no.","Australian government pensions and allowances
$","Australian annuities and superannuation income streams taxable component taxed element
no.","Australian annuities and superannuation income streams taxable component taxed element
$","Australian annuities and superannuation income streams taxable component untaxed element
no.","Australian annuities and superannuation income streams taxable component untaxed element
$","Gross interest
no.","Gross interest
$","Dividends unfranked
no.","Dividends unfranked
$","Dividends franked
no.","Dividends franked
$","Dividends franking credit
no.","Dividends franking credit
$","Total Income or Loss3
no.","Total Income or Loss3
$","Total work related car expenses
no.","Total work related car expenses
$","Work related travel expenses
no.","Work related travel expenses
$","Total work related uniform/clothing expenses
no.","Total work related uniform/clothing expenses
$","Total work related self education expenses
no.","Total work related self education expenses
$","Other work related expenses
no.","Other work related expenses
$","Low value pool deduction
no.","Low value pool deduction
$","Interest deductions
no.","Interest deductions
$","Dividend deductions
no.","Dividend deductions
$","Gifts or donations
no.","Gifts or donations
$","Cost of managing tax affairs
no.","Cost of managing tax affairs
$","Total deductions3
no.","Total deductions3
$","Total reportable fringe benefits amount
no.","Total reportable fringe benefits amount
$","Reportable employer superannuation contributions
no.","Reportable employer superannuation contributions
$","Net primary production distribution
no.","Net primary production distribution
$","Net non primary production distribution
no.","Net non primary production distribution
$","Share of franking credit from franked dividends
no.","Share of franking credit from franked dividends
$","Net PSI transferred
no.","Net PSI transferred
$","Deferred non-commercial business losses primary production deferred losses
no.","Deferred non-commercial business losses primary production deferred losses
$","Deferred non-commercial business losses non primary production deferred losses
no.","Deferred non-commercial business losses non primary production deferred losses
$","Capital gains net capital gain
no.","Capital gains net capital gain
$","Estimated tax on net capital gains
no.","Estimated tax on net capital gains
$","Capital gains total current year capital gains
no.","Capital gains total current year capital gains
$","Capital gains net capital losses carrier forward
no.","Capital gains net capital losses carrier forward
$","Foreign source income assessable foreign source income
no.","Foreign source income assessable foreign source income
$",Foreign source income other net foreign source income,Foreign source income other net foreign source income,"Foreign source income foreign income tax offset
no.","Foreign source income foreign income tax offset
$","Gross rent
no.","Gross rent
$","Rent interest deductions
no.","Rent interest deductions
$","Rent capital works deductions
no.","Rent capital works deductions
$","Rent other rental deductions
no.","Rent other rental deductions
$",Net rent - profit no.,Net rent - profit $,Net rent - loss no.,Net rent - loss $,"Net rent3
no.","Net rent3
$","Other income category 1
no.","Other income category 1
$","Other income category 2
no.","Other income category 2
$","Personal superannuation contributions
no.","Personal superannuation contributions
$","Other deductions
no.","Other deductions
$","Total business income - Primary production4 
no.","Total business income - Primary production4 
$","Total business income - Non-primary production4 
no.","Total business income - Non-primary production4 
$","Total business income3
no.","Total business income3
$","Total business expenses3
no.","Total business expenses3
$","Net income or loss from business - Primary production4 
no.","Net income or loss from business - Primary production4 
$","Net income or loss from business - Non-primary production4 
no.","Net income or loss from business - Non-primary production4 
$","Net income or loss from business
no.","Net income or loss from business
$","Estimated business net tax
no.","Estimated business net tax
$","Australian superannuation income stream tax offset
no.","Australian superannuation income stream tax offset
$","Net medical expenses over the threshold amount tax offset
no.","Net medical expenses over the threshold amount tax offset
$","Low income tax offset
no.","Low income tax offset
$","Mature age worker tax offset
no.","Mature age worker tax offset
$","Termination payment tax offset
no.","Termination payment tax offset
$"
5047,SA,"4,242","2,554","4,223","195,501,042","3,437","34,670,512","2,999","2,578,782",53,"58,722","3,157","35,251,233",150,"532,294","3,388","161,781,970",714,"1,615,788",61,"686,754",53,"696,066",425,"2,528,230",314,"3,228,479",37,"297,402",130,"4,106,882","2,433","2,977,879",323,"127,554",816,"4,017,541",815,"1,721,290","4,227","203,689,271","1,077","2,359,043",323,"475,604","2,079","507,918",184,"302,810","2,273","2,152,334",84,"25,613",64,"58,406",96,"196,106","1,454","445,623","1,826","458,441","3,437","8,074,718",433,"8,237,631",352,"3,043,547",6,"-3,067",474,"11,316,919",187,"652,930",17,"368,944",3,"18,112",37,"236,224",137,"1,206,751",102,"246,300",204,"2,731,888",281,"3,512,797",204,"496,737",163,"123,384",150,"26,697",599,"8,786,930",502,"5,593,105",254,"626,669",603,"4,278,297",192,"1,331,220",413,"-3,042,361",605,"-1,711,141",167,"198,902",37,"85,845",42,"700,910",230,"381,957",12,"177,324",337,"25,177,291",350,"25,461,419",334,"18,346,695",15,"70,761",346,"6,813,202",360,"6,917,988",183,"1,218,652",119,"354,490",60,"35,844","2,374","765,316",309,"135,252",82,"273,066"
5048,SA,"8,457","6,097","8,414","479,198,890","6,871","103,239,929","6,028","6,547,667",107,"117,683","6,231","103,313,778",270,"996,157","6,171","350,714,232","1,256","4,048,412",133,"1,921,545",123,"1,992,765",522,"3,031,776",750,"6,617,516",127,"1,579,287",533,"17,965,853","5,426","11,010,887","1,052","712,955","2,457","17,973,523","2,449","7,699,438","8,438","502,469,859","2,078","5,299,335",646,"958,226","3,300","808,414",321,"573,469","4,253","4,875,706",241,"99,495",255,"405,546",441,"1,197,418","3,343","1,887,304","3,819","1,368,654","6,825","22,708,823",745,"14,138,155","1,056","10,778,560",33,"160,467","1,436","42,653,888",642,"3,980,773",53,"1,009,746",5,"7,793",94,"694,363",570,"8,119,789",427,"2,168,119",789,"19,619,991",852,"13,799,649",717,"5,295,979",559,"994,201",512,"1,253,884","1,423","22,676,210","1,192","14,533,060",681,"1,734,903","1,423","11,395,211",465,"3,032,412",968,"-8,019,376","1,433","-4,986,964",452,"728,672",139,"551,252",187,"3,539,776",556,"1,634,590",21,"274,598",664,"53,718,370",684,"53,992,968",671,"35,669,139",29,"-91,879",683,"17,866,887",709,"17,775,008",401,"4,265,587",514,"1,629,993",201,"204,983","4,160","1,283,287",644,"255,792",202,"812,408"
5049,SA,"6,199","4,466","6,174","348,230,606","5,080","73,933,515","4,519","4,772,282",95,"109,803","4,661","74,822,085",208,"754,093","4,622","259,266,871",971,"3,472,328",100,"2,036,678",84,"1,751,088",358,"2,134,531",444,"4,096,396",91,"1,034,648",273,"9,930,746","3,866","7,236,160",668,"377,110","1,557","11,944,126","1,554","5,115,198","6,182","364,529,140","1,635","3,823,319",518,"782,986","2,460","603,342",256,"378,303","3,250","3,467,173",186,"73,884",148,"291,872",259,"453,317","2,247","1,098,604","2,813","1,033,217","5,032","16,051,291",563,"10,790,947",756,"7,956,026",35,"-125,212","1,108","30,944,837",445,"3,004,383",55,"1,154,691",9,"55,741",69,"316,576",381,"6,282,835",278,"1,848,689",516,"17,357,787",611,"10,897,097",451,"2,260,405",352,"429,472",325,"205,715","1,163","19,555,398",955,"11,650,435",540,"1,376,750","1,169","9,813,580",415,"3,380,958",759,"-6,665,229","1,174","-3,284,271",349,"781,003",85,"323,799",145,"2,964,905",380,"1,020,224",17,"222,998",565,"45,615,771",581,"45,838,769",557,"30,875,708",24,"-103,783",575,"14,970,932",597,"14,867,149",337,"3,275,463",297,"940,242",144,"99,784","3,083","969,426",518,"208,012",149,"805,878"
5050,SA,"3,418","2,501","3,402","185,273,831","2,689","38,868,617","2,389","2,520,150",51,"56,221","2,461","38,919,520",115,"388,961","2,435","134,048,708",451,"1,844,217",53,"1,136,927",41,"1,594,847",204,"1,073,268",304,"2,488,380",38,"404,585",222,"7,964,374","2,291","4,375,078",466,"240,209","1,073","7,653,122","1,070","3,279,554","3,406","194,041,067",734,"1,599,448",254,"571,185","1,067","247,002",111,"175,548","1,604","1,982,010",83,"32,542",119,"153,440",183,"292,478","1,330","807,584","1,436","574,546","2,693","8,621,910",310,"5,848,947",456,"5,970,649",9,"-10,269",611,"12,711,513",297,"925,306",23,"876,924",4,"116,551",45,"398,263",249,"2,687,621",177,"609,715",360,"6,615,808",380,"7,188,318",326,"771,313",283,"343,393",259,"47,198",586,"9,548,540",485,"5,430,163",255,"635,619",595,"4,881,647",236,"1,664,501",362,"-3,063,390",598,"-1,398,889",186,"458,688",75,"325,128",83,"1,594,108",190,"570,000",13,"182,973",356,"21,991,835",368,"22,174,808",357,"12,759,228",12,"5,322",365,"9,202,114",376,"9,207,436",206,"2,199,023",206,"719,710",83,"79,472","1,615","506,499",275,"113,561",83,"617,630"
5051,SA,"8,960","6,874","8,920","499,910,791","7,372","103,500,412","6,642","6,901,663",102,"108,699","6,817","104,802,838",327,"1,142,278","6,866","394,177,325","1,314","3,931,168",172,"2,896,050",118,"2,162,287",478,"2,619,690",603,"5,041,855",118,"1,096,891",481,"17,937,595","5,682","8,191,023",964,"429,145","2,293","11,459,516","2,289","4,909,859","8,944","521,667,503","2,312","5,131,676",685,"926,377","3,307","720,407",342,"477,516","4,808","5,126,300",266,"110,432",233,"340,888",417,"856,510","3,593","1,680,830","3,842","1,215,568","7,369","21,275,896",911,"17,006,569","1,149","11,735,751",56,"457,873","1,447","37,153,717",648,"2,469,929",64,"864,078",10,"74,871",117,"969,741",479,"4,354,736",372,"929,110",732,"13,299,277",938,"15,445,257",772,"3,224,190",604,"720,483",537,"449,597","1,417","21,289,973","1,229","13,716,366",724,"1,628,784","1,428","10,554,524",430,"3,367,951","1,010","-7,977,652","1,440","-4,609,701",461,"925,668",130,"435,184",182,"3,247,598",632,"1,362,013",27,"404,316",802,"50,175,169",828,"50,609,957",785,"30,182,860",33,"-70,087",818,"20,031,920",851,"19,976,711",501,"4,063,468",465,"1,632,140",240,"145,446","4,295","1,335,437",659,"268,066",220,"858,925"
5052,SA,"4,154","3,272","4,141","245,554,246","3,367","53,895,205","2,974","3,354,621",56,"55,453","3,077","54,053,022",171,"618,270","3,009","180,641,879",528,"1,817,545",68,"1,131,904",54,"1,486,767",197,"1,139,545",342,"2,866,540",55,"530,254",272,"10,271,415","2,737","5,142,123",567,"443,569","1,298","8,588,943","1,296","3,680,258","4,146","257,032,698",979,"2,310,455",346,"636,601","1,201","270,590",141,"190,286","2,063","2,362,107",88,"30,943",121,"252,278",283,"379,172","1,699","937,380","1,776","639,917","3,348","11,167,860",385,"7,555,005",603,"7,768,089",18,"-224,720",834,"18,534,565",378,"1,359,129",28,"521,007",9,"108,981",54,"482,093",327,"3,192,892",252,"684,903",453,"9,610,799",460,"7,677,821",434,"2,409,822",347,"521,524",299,"270,802",696,"10,460,913",576,"6,556,093",330,"740,803",700,"5,348,452",244,"1,555,847",461,"-3,740,282",705,"-2,184,435",226,"988,954",78,"163,429",112,"2,222,868",301,"778,256",20,"822,869",373,"27,420,255",391,"28,243,124",373,"14,746,672",22,"70,883",377,"13,255,730",397,"13,326,613",229,"3,463,057",268,"935,511",111,"100,447","1,871","576,966",318,"126,679",92,"708,490"
5061,SA,"6,709","5,355","6,649","602,058,727","5,560","172,601,075","4,978","8,547,936",87,"132,175","5,202","176,544,421",306,"1,327,743","4,641","313,571,983",799,"4,729,915",91,"1,502,985",72,"1,467,538",317,"1,862,782",277,"2,716,097",115,"1,932,786",265,"11,422,855","4,444","11,153,782",981,"1,507,343","2,312","41,920,294","2,307","17,962,285","6,672","632,069,669","1,363","4,320,458",492,"892,649","1,601","371,641",206,"402,502","2,940","4,031,647",176,"70,573",252,"1,416,214",574,"1,993,009","2,450","2,085,591","2,803","2,031,794","5,258","28,989,978",591,"11,696,908",905,"17,517,862",85,"-159,336","1,978","129,547,588",914,"19,293,438",57,"788,062",20,"891,064",83,"1,021,506",629,"17,853,142",520,"6,390,474",898,"38,229,102",941,"35,439,128",692,"4,876,881",634,"1,252,635",568,"1,036,107","1,264","26,780,378",981,"14,599,353",575,"1,807,422","1,287","13,683,917",513,"5,366,936",779,"-8,677,250","1,292","-3,310,314",556,"1,110,227",145,"849,752",380,"8,455,624",655,"2,832,215",40,"2,717,450",682,"132,032,174",718,"134,884,353",676,"76,133,681",50,"418,342",700,"57,452,498",743,"57,951,456",488,"20,443,706",309,"1,234,016",171,"205,802","2,702","858,749",488,"192,241",134,"577,280"
5062,SA,"9,856","8,041","9,790","722,778,016","8,077","185,514,124","7,223","10,131,797",82,"107,196","7,496","188,752,132",433,"1,695,259","7,031","440,526,043","1,223","5,045,571",156,"3,035,737",119,"3,647,292",500,"2,812,773",570,"5,334,308",156,"2,531,794",522,"21,626,389","6,633","16,997,523","1,441","2,287,088","3,320","46,884,950","3,311","20,075,079","9,807","760,516,373","2,231","6,103,150",731,"1,078,113","2,621","603,217",330,"635,798","4,669","5,666,395",218,"86,203",388,"1,103,038",773,"1,933,441","3,786","5,473,563","4,092","2,267,403","7,848","36,184,800",934,"18,242,394","1,386","22,872,733",75,"-212,782","2,415","99,906,407","1,155","11,453,761",75,"1,524,305",20,"302,080",107,"1,112,715",829,"24,305,800",654,"8,620,891","1,231","56,763,210","1,326","40,871,676",991,"4,190,543",876,"1,534,684",767,"564,344","1,647","30,441,012","1,308","18,151,113",712,"2,091,236","1,651","16,286,381",615,"5,106,959","1,050","-11,194,677","1,665","-6,087,718",704,"1,317,606",165,"1,416,912",369,"8,188,413",796,"2,976,776",46,"1,503,244",930,"121,845,025",971,"123,358,127",947,"67,742,324",51,"-458,439",962,"55,584,070","1,006","55,128,834",651,"18,099,606",559,"2,207,334",260,"269,776","4,182","1,323,185",708,"286,016",208,"1,293,661"
5063,SA,"7,548","5,763","7,494","503,378,434","6,263","120,555,683","5,596","7,003,101",89,"111,122","5,839","123,334,944",377,"1,590,784","5,775","359,990,288","1,028","4,712,076",139,"2,335,057",105,"2,020,758",471,"2,748,108",351,"3,376,971",92,"967,978",305,"11,419,335","4,930","8,993,842",902,"831,326","2,207","17,501,860","2,206","7,499,280","7,509","526,907,602","1,811","4,796,492",629,"983,380","2,250","522,212",317,"570,537","3,834","4,707,888",170,"50,697",227,"501,723",464,"1,004,005","2,839","1,749,459","3,248","1,427,021","6,095","22,960,741",710,"13,477,862",992,"12,831,767",42,"-491,559","1,510","56,896,696",696,"6,590,946",74,"2,629,800",8,"255,420",88,"651,675",535,"8,567,594",440,"2,485,420",798,"19,382,272",917,"21,029,257",658,"2,772,648",574,"1,146,509",525,"419,469","1,302","22,990,438","1,075","13,939,589",556,"1,567,970","1,321","11,776,730",465,"3,365,034",861,"-7,658,885","1,326","-4,293,851",501,"670,472",115,"590,946",228,"4,487,777",644,"2,102,809",29,"1,308,285",782,"76,607,335",810,"78,142,214",776,"44,371,801",39,"193,803",804,"33,516,148",838,"33,580,831",535,"9,657,210",317,"1,074,648",177,"232,145","3,371","1,068,252",528,"213,160",184,"661,891"
5064,SA,"6,379","5,257","6,337","494,383,503","5,207","131,228,298","4,562","6,872,636",64,"86,410","4,770","133,155,979",207,"860,046","4,054","265,618,825",730,"3,739,786",70,"1,204,256",56,"1,951,091",234,"1,246,170",411,"3,783,379",102,"1,732,881",411,"17,106,640","4,476","15,298,550","1,145","1,712,474","2,522","39,719,186","2,516","17,009,096","6,349","519,502,540","1,227","3,734,499",415,"759,462","1,419","327,687",183,"366,384","2,612","3,458,865",123,"41,884",275,"1,376,331",662,"1,524,029","2,350","2,655,645","2,667","1,874,714","4,993","24,577,040",576,"11,454,975",797,"13,586,268",61,"252,221","1,909","86,176,937",921,"9,757,434",48,"1,112,099",16,"260,545",71,"1,779,546",662,"13,277,904",521,"4,406,444",973,"36,794,801",970,"25,271,631",804,"4,703,635",687,"1,489,347",586,"511,105","1,113","21,058,045",825,"12,090,899",477,"1,442,855","1,117","11,058,194",478,"4,143,116",648,"-7,663,679","1,126","-3,520,563",485,"1,357,262",124,"1,430,792",263,"6,095,727",577,"2,261,333",29,"654,918",621,"91,105,448",645,"91,888,922",608,"52,049,961",40,"-551,933",636,"39,737,378",670,"39,146,729",424,"13,812,945",414,"1,752,182",219,"317,725","2,574","813,280",521,"208,208",97,"659,094"
5065,SA,"6,568","5,250","6,525","521,318,745","5,355","141,370,926","4,647","7,212,383",63,"83,137","4,898","143,477,358",249,"942,772","4,294","274,797,021",752,"4,118,012",82,"1,720,640",63,"1,847,456",346,"1,905,023",437,"4,022,350",89,"1,286,545",410,"16,246,333","4,619","12,876,209","1,127","1,624,909","2,527","45,807,500","2,521","19,625,188","6,534","550,435,424","1,320","3,500,504",456,"1,014,962","1,519","350,997",205,"387,561","2,757","3,627,133",163,"57,088",311,"690,754",680,"1,966,394","2,445","5,416,987","2,731","1,616,502","5,142","28,483,887",546,"11,263,381",821,"15,365,948",78,"352,016","1,894","92,500,341",966,"12,837,496",45,"1,193,837",17,"263,359",90,"888,550",701,"14,931,590",561,"4,990,716","1,019","41,411,346",916,"22,595,508",799,"3,406,862",708,"1,074,498",646,"465,573","1,210","23,132,984",890,"12,103,545",485,"1,424,659","1,218","11,877,456",524,"5,099,575",699,"-7,372,251","1,223","-2,272,676",457,"775,338",121,"588,843",328,"7,802,189",512,"1,993,553",33,"815,502",700,"96,559,450",733,"99,403,351",670,"53,006,771",41,"-115,478",699,"45,781,540",740,"45,469,847",464,"15,302,000",390,"1,538,639",201,"217,460","2,696","848,072",524,"200,404",115,"1,048,552"
5066,SA,"7,975","6,765","7,908","662,371,437","6,570","181,462,558","5,894","9,346,783",98,"124,810","6,054","185,249,307",271,"1,119,187","5,112","361,929,194",875,"5,117,614",93,"2,112,055",83,"3,748,799",271,"1,389,532",440,"3,881,649",116,"1,838,120",448,"18,916,321","5,420","16,535,321","1,313","1,774,865","3,112","46,536,697","3,106","19,920,808","7,931","698,017,197","1,630","4,603,031",554,"1,211,454","1,730","408,368",228,"435,425","3,389","4,830,094",187,"65,708",362,"1,355,151",767,"2,008,436","2,984","4,537,352","3,348","2,172,178","6,253","34,608,778",676,"14,148,008","1,036","19,122,246",77,"1,234,933","2,525","131,907,061","1,216","14,421,896",53,"2,093,516",13,"247,205",106,"1,556,366",830,"19,710,750",677,"6,704,905","1,214","46,443,396","1,219","30,036,661","1,038","4,150,435",895,"1,314,641",765,"396,414","1,628","31,026,425","1,275","16,502,507",710,"2,119,201","1,659","16,006,606",652,"6,682,303","1,009","-10,284,192","1,661","-3,601,889",641,"1,198,821",170,"2,031,671",436,"10,055,763",721,"2,875,079",36,"515,730",745,"114,099,090",778,"114,737,596",739,"65,926,903",50,"-128,398",771,"48,196,317",813,"48,067,919",488,"16,331,871",453,"1,920,115",256,"231,037","3,169","979,944",612,"232,189",144,"981,238"
5067,SA,"6,641","4,930","6,575","450,855,151","5,524","109,571,422","4,942","6,278,087",99,"136,986","5,151","111,961,895",392,"1,679,933","4,941","304,176,081",873,"4,076,231",83,"1,418,174",84,"1,363,195",448,"2,517,184",286,"2,766,939",97,"1,678,718",245,"9,282,566","4,317","9,486,619",770,"937,044","1,773","20,258,242","1,770","8,666,886","6,601","477,221,417","1,468","3,930,096",599,"1,158,100","1,862","467,531",274,"517,868","3,288","4,584,985",159,"48,909",240,"746,741",416,"1,552,782","2,384","2,934,367","2,726","1,647,576","5,308","25,371,028",583,"11,326,957",789,"11,326,162",64,"-477,910","1,436","59,241,731",657,"5,211,943",50,"740,765",14,"561,635",75,"626,893",507,"6,923,673",411,"1,720,729",738,"17,912,683",753,"18,893,330",626,"2,518,112",574,"944,529",487,"405,919","1,266","25,199,811","1,006","14,113,404",530,"1,590,444","1,268","12,617,308",494,"4,613,772",787,"-7,735,117","1,281","-3,121,345",454,"1,698,604",132,"772,328",269,"6,032,346",480,"1,628,653",39,"1,438,848",757,"95,936,785",798,"97,712,278",759,"59,429,283",47,"-260,342",782,"37,657,262",830,"37,574,140",513,"11,756,247",268,"988,928",136,"148,513","3,007","937,480",450,"179,948",137,"676,937"
5068,SA,"7,606","5,852","7,556","546,742,947","6,227","139,557,920","5,441","7,566,779",69,"96,488","5,691","142,442,922",327,"1,271,036","5,345","317,976,089",904,"3,610,138",86,"1,603,354",86,"1,390,802",438,"2,348,251",482,"4,745,516",105,"1,655,096",360,"13,098,805","5,099","12,683,826","1,035","1,293,468","2,523","36,447,348","2,515","15,617,313","7,573","579,650,537","1,686","4,390,413",527,"907,478","2,161","507,469",286,"645,789","3,447","4,409,883",208,"81,891",232,"697,906",628,"1,777,018","2,765","7,875,737","3,138","1,763,714","5,957","32,418,644",645,"13,033,715",869,"13,448,964",55,"197,718","1,907","80,479,247",919,"9,265,089",68,"1,563,968",17,"636,841",91,"803,178",666,"37,882,638",551,"15,585,428",983,"81,668,969",947,"23,900,403",784,"3,162,217",687,"1,611,576",590,"428,765","1,240","21,555,973",939,"11,273,127",536,"1,345,223","1,254","11,105,153",521,"4,470,784",739,"-6,638,314","1,260","-2,167,530",539,"2,013,402",147,"733,197",276,"6,160,642",561,"3,142,696",44,"1,982,243",760,"108,706,391",799,"110,689,340",749,"71,981,974",52,"119,066",779,"38,231,037",823,"38,350,809",499,"11,786,964",370,"1,305,139",179,"285,529","3,376","1,057,453",502,"193,310",135,"631,933"
5069,SA,"5,295","4,067","5,258","426,367,202","4,363","115,868,453","3,946","6,033,258",60,"80,656","4,103","115,051,537",272,"1,190,701","3,922","245,300,433",689,"2,973,218",73,"1,669,429",51,"1,339,061",347,"2,089,907",220,"2,112,125",71,"773,719",217,"8,657,092","3,477","7,521,923",654,"927,689","1,656","17,192,748","1,651","7,340,930","5,271","446,592,108","1,143","3,132,372",431,"800,935","1,522","360,421",209,"538,236","2,534","3,320,560",138,"58,808",191,"927,726",378,"1,222,034","1,950","1,489,405","2,184","1,287,167","4,183","19,738,473",497,"10,502,944",676,"11,402,960",31,"505,767","1,367","92,159,162",622,"16,802,574",42,"1,056,065",4,"13,664",60,"1,442,019",418,"7,278,638",336,"2,241,745",615,"22,318,032",665,"17,392,568",553,"10,682,166",484,"9,192,064",434,"4,159,496",993,"20,792,716",770,"12,170,689",464,"1,472,711",995,"11,269,804",395,"3,479,064",603,"-7,599,552",998,"-4,120,488",415,"1,469,945",84,"451,506",224,"4,571,245",475,"1,949,983",28,"3,295,976",591,"74,765,436",611,"78,061,412",578,"41,995,322",29,"126,658",599,"34,403,587",620,"34,530,245",413,"11,263,307",211,"795,795",112,"80,316","2,270","711,545",291,"121,151",98,"609,922"
5070,SA,"8,101","5,494","8,061","434,895,572","6,662","89,708,978","5,763","5,851,970",75,"80,846","6,123","90,863,121",352,"1,288,517","6,101","325,722,864","1,093","3,289,297",109,"1,608,946",86,"1,646,937",493,"2,871,171",517,"5,317,677",70,"669,340",362,"12,064,814","5,148","9,685,445",829,"550,108","2,001","11,147,683","1,996","4,776,713","8,069","454,742,191","1,844","4,457,481",550,"659,771","3,123","747,620",330,"595,723","3,974","4,198,415",217,"74,596",279,"425,548",371,"737,735","2,789","1,367,545","3,374","1,773,949","6,337","19,401,785",653,"12,293,016",760,"9,060,656",28,"277,533","1,358","37,961,358",613,"3,868,435",89,"1,604,893",7,"32,951",82,"542,567",432,"4,692,556",356,"1,122,009",630,"11,115,233",761,"26,048,015",586,"2,292,258",461,"425,526",426,"391,463","1,341","23,021,742","1,064","12,734,522",599,"1,525,830","1,353","11,208,166",575,"4,540,862",781,"-6,987,638","1,356","-2,446,776",425,"571,286",93,"496,869",168,"2,805,784",516,"1,303,140",32,"497,163",766,"66,748,202",799,"67,435,320",738,"40,233,527",35,"131,956",781,"26,608,874",817,"26,857,023",505,"6,905,027",330,"1,031,301",184,"167,146","4,231","1,340,437",462,"187,312",159,"804,782"
5072,SA,"7,501","5,699","7,447","442,598,269","6,092","98,191,652","5,378","6,059,628",72,"92,673","5,591","99,587,148",346,"1,292,439","5,455","305,049,367",919,"3,493,793",114,"1,762,896",103,"2,212,893",407,"2,351,416",447,"4,075,289",82,"1,013,961",294,"10,939,253","4,995","11,416,159",867,"1,022,946","2,156","20,620,046","2,154","8,826,827","7,453","463,555,504","1,750","4,113,828",558,"1,010,779","2,438","560,761",288,"473,775","3,565","4,089,105",181,"66,921",251,"454,691",378,"985,153","2,571","1,206,596","2,996","1,310,966","5,839","20,652,649",526,"9,965,696",910,"12,422,733",38,"330,944","1,642","50,977,945",670,"3,695,952",61,"1,281,639",11,"133,087",95,"758,316",526,"5,036,363",419,"1,244,798",733,"10,868,320",773,"15,391,690",645,"4,797,713",540,"2,069,678",468,"742,068","1,310","23,462,962","1,017","12,517,370",553,"1,534,872","1,324","11,436,371",537,"5,106,156",792,"-7,131,807","1,329","-2,025,651",468,"959,253",128,"294,897",225,"4,879,271",500,"1,390,326",30,"798,954",671,"70,296,488",697,"71,095,442",664,"45,455,229",39,"-278,279",687,"25,443,760",720,"25,165,481",434,"7,035,521",299,"1,062,919",187,"160,056","3,514","1,096,828",566,"234,057",166,"693,284"
5073,SA,"8,626","6,107","8,584","447,972,103","6,980","90,105,409","6,047","6,022,504",69,"84,989","6,376","91,610,253",305,"1,083,461","6,385","338,287,445","1,077","3,300,062",123,"2,556,505",108,"2,152,462",559,"3,295,852",584,"5,573,492",70,"692,394",315,"9,965,900","5,498","9,389,211",834,"451,989","2,103","11,126,119","2,098","4,766,742","8,588","467,099,505","2,052","4,848,202",547,"777,662","3,227","758,582",351,"570,761","4,156","4,140,237",213,"71,232",267,"363,088",300,"568,668","2,957","1,336,446","3,544","1,221,555","6,681","18,906,181",624,"12,079,199",851,"8,801,204",34,"-68,855","1,557","41,200,298",589,"2,669,944",73,"1,310,359",7,"52,125",98,"674,053",446,"4,917,715",336,"1,169,692",623,"12,802,690",699,"11,590,320",593,"2,444,085",502,"1,054,613",445,"306,329","1,560","26,707,996","1,212","13,197,858",608,"1,408,040","1,580","12,904,198",694,"5,929,186",891,"-6,731,286","1,585","-802,100",491,"1,163,313",109,"211,282",171,"2,929,788",545,"1,257,619",22,"210,904",753,"59,441,926",773,"59,652,830",721,"36,586,073",27,"-27,984",772,"22,385,227",797,"22,357,243",468,"5,150,627",291,"873,629",219,"159,829","4,456","1,408,524",556,"228,176",166,"740,022"
